"","X2.gram","X...","frequency"
"1","TH",100272945963,0.0355620338677883
"2","HE",86697336727,0.030747412428376
"3","IN",68595215308,0.0243274528989249
"4","ER",57754162106,0.0204826481270149
"5","AN",55974567611,0.0198515107938655
"6","RE",52285662239,0.0185432319105211
"7","ON",49570981965,0.0175804642276026
"8","AT",41920838452,0.0148673230099991
"9","EN",41004903554,0.0145424845647879
"10","ND",38129777631,0.0135228144586996
"11","TI",37856196209,0.0134257881700898
"12","ES",37766388079,0.0133939375075806
"13","OR",35994097756,0.0127653906160459
"14","TE",33973261529,0.0120486963406792
"15","OF",33130341561,0.0117497528104781
"16","ED",32937140633,0.0116812336513087
"17","IS",31817918249,0.0112842988256371
"18","IT",31672532308,0.0112327373629905
"19","AL",30662410438,0.0108744952887545
"20","AR",30308513014,0.0107489847429423
"21","ST",29704461829,0.0105347565830679
"22","TO",29360205581,0.0104126653027828
"23","NT",29359771944,0.0104125115124106
"24","NG",26871805511,0.0095301484213241
"25","SE",26282488562,0.00932114579256985
"26","HA",26103411208,0.00925763559181987
"27","AS",24561944198,0.00871095072593466
"28","OU",24531132241,0.00870002319360933
"29","IO",23542263265,0.00834931850773829
"30","LE",23382173640,0.00829254234930935
"31","VE",23270129573,0.00825280565994542
"32","CO",22384167777,0.00793859724517974
"33","ME",22360109325,0.00793006485913469
"34","DE",21565300071,0.00764818390572569
"35","HI",21520845924,0.0076324181389379
"36","RI",20516398905,0.00727618866382846
"37","RO",20491179118,0.00726724440762037
"38","IC",19701195496,0.0069870748758413
"39","NE",19504235770,0.00691722265020522
"40","EA",19403941063,0.00688165289873496
"41","RA",19332539912,0.00685633031420655
"42","CE",18367773425,0.0065141736322052
"43","LI",17604626629,0.00624352184328239
"44","CH",16854985236,0.00597765977699385
"45","LL",16257360474,0.00576571076300642
"46","BE",16249257887,0.0057628371616522
"47","MA",15938689768,0.00565269345479224
"48","SI",15509759748,0.00550057242402309
"49","OM",15402602484,0.00546256885072672
"50","UR",15303657594,0.00542747781499987
"51","CA",15174413181,0.00538164098285948
"52","EL",14952716079,0.00530301558920022
"53","TA",14941000711,0.00529886070664851
"54","LA",14874551789,0.00527529444167098
"55","NS",14350320288,0.00508937451866401
"56","DI",13899990598,0.00492966404507964
"57","FO",13753006196,0.00487753568451577
